City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Arica,CL,71.15,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
78,Punta Arenas,CL,48.31,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
79,Chui,UY,54.36,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
80,Jamestown,US,70.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
81,Gagino,RU,66.56,broken clouds,55.2314,45.0339,Mini-Otel'
82,Laas,IT,58.08,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
84,Camacha,PT,70.56,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
86,Port Elizabeth,ZA,59.29,scattered clouds,-33.918,25.5701,39 On Nile Guest House
87,Resistencia,AR,73.45,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
88,Ilulissat,GL,57.22,clear sky,69.2167,-51.1,Hotel Arctic
90,Chicama,PE,64.94,clear sky,-7.8447,-79.1469,Balihai Bungalows
92,East London,ZA,63.39,clear sky,-33.0153,27.9116,Tu Casa
95,Caravelas,BR,70.34,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
96,Esmeraldas,BR,69.91,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
98,Hofn,IS,54.37,overcast clouds,64.2539,-15.2082,Hótel Höfn
105,Beyla,GN,68.34,light rain,8.6833,-8.6333,DIAN SINKO
107,Sisimiut,GL,57.65,clear sky,66.9395,-53.6735,Hotel Sisimiut
108,Plouzané,FR,62.62,broken clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
113,Naryan-Mar,RU,50.43,overcast clouds,67.6713,53.087,Hostel Agat
114,Iqaluit,CA,55.13,overcast clouds,63.7506,-68.5145,Frobisher Inn
115,Joshīmath,IN,72.0,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
116,Bengkulu,ID,74.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
117,Carrick-on-Suir,IE,61.97,broken clouds,52.3492,-7.4131,The Carraig Hotel
118,Ponta do Sol,PT,74.03,clear sky,32.6667,-17.1,Hotel do Campo
119,Cidreira,BR,59.04,broken clouds,-30.1811,-50.2056,Hotel Castelo
121,Chapais,CA,67.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
122,Saint-Philippe,RE,67.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Pushkinskiye Gory,RU,63.5,overcast clouds,57.0209,28.9103,"The recreation center ""Pushkinogorye"""
127,Dudinka,RU,50.27,overcast clouds,69.4058,86.1778,Hotel Viktoria
